'V_P1,'V_P2,current,charge,sensor,state
-0.0,-0.0,1.7515700492976917e-18,0.0,0.0,0
-0.0,-0.00404040404040404,2.3929832684242605e-18,0.0,0.0,0
-0.0,-0.00808080808080808,3.084018439370909e-18,0.0,0.0,0
-0.0,-0.012121212121212121,4.364465458672048e-18,0.0,0.0,0
-0.0,-0.01616161616161616,5.884725358925308e-18,0.0,0.0,0
-0.0,-0.0202020202020202,7.996735472765003e-18,0.0,0.0,0
-0.0,-0.024242424242424242,1.0962008217236716e-17,0.0,0.0,0
-0.0,-0.028282828282828285,1.5186252129472806e-17,0.0,0.0,0
-0.0,-0.03232323232323232,2.1372509509394652e-17,0.0,0.0,0
-0.0,-0.03636363636363636,2.9605927651820264e-17,0.0,0.0,0
-0.0,-0.0404040404040404,4.0473957047016806e-17,0.0,0.0,0
-0.0,-0.044444444444444446,6.0498768675189e-17,0.0,0.0,0
-0.0,-0.048484848484848485,8.70012548319468e-17,0.0,0.0,0
-0.0,-0.052525252525252523,1.2754995451417652e-16,0.0,0.0,0
-0.0,-0.05656565656565657,1.9192278852495306e-16,0.0,0.0,0
-0.0,-0.06060606060606061,3.0117655219973605e-16,0.0,0.0,0
-0.0,-0.06464646464646465,4.918366279809308e-16,0.0,0.0,0
-0.0,-0.06868686868686869,2.4794726712799934e-28,0.0,0.01849773111550108,1
-0.0,-0.07272727272727272,2.2842094031396815e-26,0.0,0.01832275923927092,1
-0.0,-0.07676767676767676,5.129312328051185e-25,0.0,0.01814778736304076,1
-0.0,-0.0808080808080808,4.132627295261076e-23,0.0,0.0179728154868106,1
-0.0,-0.08484848484848485,1.888096813273535e-21,0.0,0.017797843610580438,1
-0.0,-0.08888888888888889,5.665452671594383e-20,0.0,0.017622871734350277,1
-0.0,-0.09292929292929293,2.2189707562300285e-18,0.0,0.017447899858120116,1
-0.0,-0.09696969696969697,6.405557852929888e-17,0.0,0.017272927981889955,1
-0.0,-0.10101010101010101,1.5635066248107847e-15,0.0,0.017097956105659794,1
-0.0,-0.10505050505050505,6.019167550214267e-14,0.0,0.016922984229429634,1
-0.0,-0.10909090909090909,1.6090352248970377e-12,0.0,0.016748012353199473,1
