V_P1,V_P2,current,charge (space separated),state,sensor_1,sensor_2
0,0,7.57E-19,0,0,0,0
0,-0.004040404,1.02E-18,0,0,0,0
0,-0.008080808,1.39E-18,0,0,0,0
0,-0.012121212,1.91E-18,0,0,0,0
0,-0.016161616,2.66E-18,0,0,0,0
0,-0.02020202,3.58E-18,0,0,0,0
0,-0.024242424,5.21E-18,0,0,0,0
0,-0.028282828,7.24E-18,0,0,0,0
0,-0.032323232,1.01E-17,0,0,0,0
0,-0.036363636,1.44E-17,0,0,0,0
0,-0.04040404,2.08E-17,0,0,0,0
0,-0.044444444,2.96E-17,0,0,0,0
0,-0.048484848,4.38E-17,0,0,0,0
0,-0.052525253,6.39E-17,0,0,0,0
0,-0.056565657,9.48E-17,0,0,0,0
0,-0.060606061,1.44E-16,0,0,0,0
0,-0.064646465,2.27E-16,0,0,0,0
0,-0.068686869,3.76E-16,0,0,0,0
0,-0.072727273,1.59E-32,0,1,0.009275544,0.009275544
0,-0.076767677,8.44E-30,0,1,0.009181595,0.009181595
0,-0.080808081,3.33E-28,0,1,0.009087645,0.009087645
0,-0.084848485,1.29E-25,0,1,0.008993696,0.008993696
0,-0.088888889,1.98E-23,0,1,0.008899746,0.008899746
0,-0.092929293,1.43E-21,0,1,0.008805796,0.008805796
0,-0.096969697,2.04E-19,0,1,0.008711847,0.008711847
0,-0.101010101,1.54E-17,0,1,0.008617897,0.008617897
0,-0.105050505,1.92E-15,0,1,0.008523948,0.008523948
0,-0.109090909,1.73E-13,0,1,0.008429998,0.008429998
0,-0.113131313,1.26E-11,0,1,0.008336049,0.008336049
0,-0.117171717,2.36E-10,0,1,0.008242099,0.008242099
0,-0.121212121,1.28E-11,1,1,0.023765526,0.02814815
0,-0.125252525,1.98E-13,1,1,0.023671576,0.0280542
0,-0.129292929,1.93E-15,1,1,0.023577627,0.02796025
0,-0.133333333,2.60E-17,1,1,0.023483677,0.027866301
0,-0.137373737,3.50E-19,1,1,0.023389727,0.027772351
0,-0.141414141,5.24E-21,1,1,0.023295778,0.027678402
0,-0.145454545,1.12E-20,1,1,0.023201828,0.027584452
0,-0.149494949,2.06E-18,1,1,0.023107879,0.027490503
0,-0.153535354,3.61E-16,1,1,0.023013929,0.027396553
0,-0.157575758,6.18E-14,1,1,0.02291998,0.027302603
0,-0.161616162,1.03E-11,1,1,0.02282603,0.027208654
0,-0.165656566,8.80E-10,1,1,0.02273208,0.027114704
0,-0.16969697,3.43E-11,2,1,0.038255507,0.047020755
0,-0.173737374,2.53E-13,2,1,0.038161557,0.046926805
0,-0.177777778,1.92E-15,2,1,0.038067608,0.046832856
0,-0.181818182,1.46E-17,2,1,0.037973658,0.046738906
0,-0.185858586,8.22E-20,2,1,0.037879709,0.046644956
0,-0.18989899,6.64E-18,2,1,0.037785759,0.046551007
0,-0.193939394,1.48E-15,2,1,0.03769181,0.046457057
0,-0.197979798,3.60E-13,2,1,0.03759786,0.046363108
0,-0.202020202,8.29E-11,2,1,0.037503911,0.046269158
0,-0.206060606,2.59E-09,2,1,0.037409961,0.046175209
